subjCode,orderOfSelection,objectName,objectNumber,orderOfRandomPresentationDuringTest,environmentCondition_VS_1to4_ES_5,learningRepetitionsForMemorizingTheLayout,Gender_Male_1_Female_2,Age,NauseousDuringExperiment_Yes_1_No_2,experiencesInVirtualReality_None_1_Expert_5,SenseOfDirection_VeryBad_1_VeryGood_5
59,1,teapot,1,2,1,1,2,22,2,3,3
59,2,horse,2,1,1,1,2,22,2,3,3
59,3,hammer,3,5,1,1,2,22,2,3,3
59,4,hairdryer,5,3,1,1,2,22,2,3,3
59,5,trumpet,6,6,1,1,2,22,2,3,3
59,6,banana,4,7,1,1,2,22,2,3,3
59,7,racket,7,4,1,1,2,22,2,3,3
47,1,trumpet,6,7,1,1,1,24,2,1,5
47,2,hairdryer,5,1,1,1,1,24,2,1,5
47,3,racket,7,6,1,1,1,24,2,1,5
47,4,horse,2,5,1,1,1,24,2,1,5
47,5,hammer,3,4,1,1,1,24,2,1,5
47,6,banana,4,3,1,1,1,24,2,1,5
47,7,teapot,1,2,1,1,1,24,2,1,5
27,1,banana,4,4,1,1,2,25,1,2,4
27,2,hammer,3,6,1,1,2,25,1,2,4
27,3,teapot,1,1,1,1,2,25,1,2,4
27,4,hairdryer,5,7,1,1,2,25,1,2,4
27,5,racket,7,5,1,1,2,25,1,2,4
27,6,trumpet,6,3,1,1,2,25,1,2,4
27,7,horse,2,2,1,1,2,25,1,2,4
25,1,hammer,3,4,1,1,1,27,2,4,4
25,2,trumpet,6,3,1,1,1,27,2,4,4
25,3,teapot,1,1,1,1,1,27,2,4,4
25,4,racket,7,2,1,1,1,27,2,4,4
25,5,horse,2,5,1,1,1,27,2,4,4
25,6,banana,4,6,1,1,1,27,2,4,4
25,7,hairdryer,5,7,1,1,1,27,2,4,4
36,1,hammer,3,1,1,1,1,30,2,2,5
36,2,hairdryer,5,5,1,1,1,30,2,2,5
36,3,teapot,1,3,1,1,1,30,2,2,5
36,4,horse,2,2,1,1,1,30,2,2,5
36,5,racket,7,7,1,1,1,30,2,2,5
36,6,banana,4,6,1,1,1,30,2,2,5
36,7,trumpet,6,4,1,1,1,30,2,2,5
22,1,banana,4,6,1,2,1,0,2,2,3
22,2,racket,7,3,1,2,1,0,2,2,3
22,3,hammer,3,4,1,2,1,0,2,2,3
22,4,hairdryer,5,1,1,2,1,0,2,2,3
22,5,trumpet,6,2,1,2,1,0,2,2,3
22,6,horse,2,7,1,2,1,0,2,2,3
22,7,teapot,1,5,1,2,1,0,2,2,3
20,1,hammer,3,5,1,1,2,27,1,2,2
20,2,teapot,1,2,1,1,2,27,1,2,2
20,3,hairdryer,5,1,1,1,2,27,1,2,2
20,4,horse,2,3,1,1,2,27,1,2,2
20,5,trumpet,6,4,1,1,2,27,1,2,2
20,6,racket,7,6,1,1,2,27,1,2,2
20,7,banana,4,7,1,1,2,27,1,2,2
35,1,trumpet,6,3,1,1,1,52,1,1,4
35,2,teapot,1,2,1,1,1,52,1,1,4
35,3,horse,2,4,1,1,1,52,1,1,4
35,4,banana,4,6,1,1,1,52,1,1,4
35,5,hammer,3,1,1,1,1,52,1,1,4
35,6,racket,7,7,1,1,1,52,1,1,4
35,7,hairdryer,5,5,1,1,1,52,1,1,4
29,1,racket,7,4,1,1,2,21,2,3,5
29,2,horse,2,1,1,1,2,21,2,3,5
29,3,trumpet,6,7,1,1,2,21,2,3,5
29,4,hairdryer,5,5,1,1,2,21,2,3,5
29,5,banana,4,3,1,1,2,21,2,3,5
3,1,teapot,1,4,1,1,2,24,2,2,2
3,2,hammer,3,1,1,1,2,24,2,2,2
3,3,banana,4,6,1,1,2,24,2,2,2
3,4,horse,2,7,1,1,2,24,2,2,2
3,5,hairdryer,5,3,1,1,2,24,2,2,2
3,6,trumpet,6,2,1,1,2,24,2,2,2
3,7,racket,7,5,1,1,2,24,2,2,2
14,1,banana,4,3,1,1,1,27,2,1,5
14,2,racket,7,2,1,1,1,27,2,1,5
14,3,hammer,3,5,1,1,1,27,2,1,5
14,4,hairdryer,5,4,1,1,1,27,2,1,5
14,5,trumpet,6,7,1,1,1,27,2,1,5
14,6,teapot,1,1,1,1,1,27,2,1,5
14,7,horse,2,6,1,1,1,27,2,1,5
57,1,hairdryer,5,3,1,2,1,26,2,2,3
57,2,racket,7,1,1,2,1,26,2,2,3
57,3,teapot,1,7,1,2,1,26,2,2,3
57,4,hammer,3,6,1,2,1,26,2,2,3
57,5,horse,2,5,1,2,1,26,2,2,3
57,6,trumpet,6,4,1,2,1,26,2,2,3
57,7,banana,4,2,1,2,1,26,2,2,3
30,1,horse,2,4,2,1,2,29,2,3,4
30,2,teapot,1,5,2,1,2,29,2,3,4
30,3,hammer,3,2,2,1,2,29,2,3,4
30,4,hairdryer,5,6,2,1,2,29,2,3,4
30,5,trumpet,6,7,2,1,2,29,2,3,4
30,6,banana,4,1,2,1,2,29,2,3,4
30,7,racket,7,3,2,1,2,29,2,3,4
28,1,hairdryer,5,4,2,1,1,26,2,3,4
28,2,teapot,1,7,2,1,1,26,2,3,4
28,3,horse,2,6,2,1,1,26,2,3,4
28,4,hammer,3,3,2,1,1,26,2,3,4
28,5,banana,4,1,2,1,1,26,2,3,4
28,6,racket,7,2,2,1,1,26,2,3,4
28,7,trumpet,6,5,2,1,1,26,2,3,4
51,1,teapot,1,7,2,2,2,48,2,3,3
51,2,horse,2,5,2,2,2,48,2,3,3
51,3,hammer,3,2,2,2,2,48,2,3,3
51,4,banana,4,6,2,2,2,48,2,3,3
51,5,hairdryer,5,4,2,2,2,48,2,3,3
51,6,trumpet,6,1,2,2,2,48,2,3,3
51,7,racket,7,3,2,2,2,48,2,3,3
23,1,teapot,1,2,2,2,1,23,2,5,4
23,2,horse,2,4,2,2,1,23,2,5,4
23,3,banana,4,3,2,2,1,23,2,5,4
23,4,hammer,3,1,2,2,1,23,2,5,4
23,5,trumpet,6,7,2,2,1,23,2,5,4
23,6,hairdryer,5,6,2,2,1,23,2,5,4
23,7,racket,7,5,2,2,1,23,2,5,4
10,1,teapot,1,4,2,1,2,20,1,4,1
10,2,horse,2,5,2,1,2,20,1,4,1
10,3,hammer,3,7,2,1,2,20,1,4,1
10,4,hairdryer,5,3,2,1,2,20,1,4,1
10,5,banana,4,1,2,1,2,20,1,4,1
10,6,trumpet,6,2,2,1,2,20,1,4,1
10,7,racket,7,6,2,1,2,20,1,4,1
44,1,teapot,1,3,2,2,2,16,2,2,3
44,2,horse,2,2,2,2,2,16,2,2,3
44,3,hammer,3,7,2,2,2,16,2,2,3
44,4,hairdryer,5,4,2,2,2,16,2,2,3
44,5,trumpet,6,6,2,2,2,16,2,2,3
44,6,banana,4,1,2,2,2,16,2,2,3
44,7,racket,7,5,2,2,2,16,2,2,3
33,1,horse,2,7,2,1,2,20,1,1,4
33,2,teapot,1,6,2,1,2,20,1,1,4
33,3,racket,7,5,2,1,2,20,1,1,4
33,4,hammer,3,2,2,1,2,20,1,1,4
33,5,hairdryer,5,4,2,1,2,20,1,1,4
33,6,trumpet,6,1,2,1,2,20,1,1,4
33,7,banana,4,3,2,1,2,20,1,1,4
37,1,trumpet,6,7,2,1,1,29,2,4,5
37,2,racket,7,1,2,1,1,29,2,4,5
37,3,banana,4,4,2,1,1,29,2,4,5
37,4,hairdryer,5,6,2,1,1,29,2,4,5
37,5,hammer,3,3,2,1,1,29,2,4,5
37,6,horse,2,5,2,1,1,29,2,4,5
37,7,teapot,1,2,2,1,1,29,2,4,5
11,1,teapot,1,7,2,2,2,26,1,3,4
11,2,horse,2,1,2,2,2,26,1,3,4
11,3,hairdryer,5,6,2,2,2,26,1,3,4
11,4,banana,4,5,2,2,2,26,1,3,4
11,5,hammer,3,2,2,2,2,26,1,3,4
11,6,racket,7,3,2,2,2,26,1,3,4
11,7,trumpet,6,4,2,2,2,26,1,3,4
32,1,horse,2,1,2,2,1,22,2,4,4
32,2,teapot,1,3,2,2,1,22,2,4,4
32,3,hairdryer,5,7,2,2,1,22,2,4,4
32,4,hammer,3,2,2,2,1,22,2,4,4
32,5,racket,7,4,2,2,1,22,2,4,4
32,6,trumpet,6,5,2,2,1,22,2,4,4
32,7,banana,4,6,2,2,1,22,2,4,4
46,1,horse,2,4,2,1,2,36,2,2,2
46,2,teapot,1,6,2,1,2,36,2,2,2
46,3,racket,7,5,2,1,2,36,2,2,2
46,4,banana,4,7,2,1,2,36,2,2,2
46,5,trumpet,6,3,2,1,2,36,2,2,2
46,6,hairdryer,5,2,2,1,2,36,2,2,2
46,7,hammer,3,1,2,1,2,36,2,2,2
5,1,teapot,1,5,2,1,1,26,2,3,5
5,2,racket,7,4,2,1,1,26,2,3,5
5,3,banana,4,6,2,1,1,26,2,3,5
5,4,horse,2,2,2,1,1,26,2,3,5
5,5,hairdryer,5,1,2,1,1,26,2,3,5
5,6,trumpet,6,7,2,1,1,26,2,3,5
5,7,hammer,3,3,2,1,1,26,2,3,5
49,1,teapot,1,4,3,3,2,25,1,1,2
49,2,horse,2,3,3,3,2,25,1,1,2
49,3,hairdryer,5,6,3,3,2,25,1,1,2
49,4,hammer,3,2,3,3,2,25,1,1,2
49,5,banana,4,1,3,3,2,25,1,1,2
49,6,trumpet,6,5,3,3,2,25,1,1,2
49,7,racket,7,7,3,3,2,25,1,1,2
16,1,banana,4,4,3,1,1,31,2,2,4
16,2,hammer,3,5,3,1,1,31,2,2,4
16,3,racket,7,6,3,1,1,31,2,2,4
16,4,hairdryer,5,7,3,1,1,31,2,2,4
16,5,trumpet,6,2,3,1,1,31,2,2,4
16,6,teapot,1,3,3,1,1,31,2,2,4
16,7,horse,2,1,3,1,1,31,2,2,4
52,1,hammer,3,4,3,2,1,19,2,4,3
52,2,trumpet,6,3,3,2,1,19,2,4,3
52,3,racket,7,2,3,2,1,19,2,4,3
52,4,banana,4,1,3,2,1,19,2,4,3
52,5,teapot,1,7,3,2,1,19,2,4,3
52,6,horse,2,6,3,2,1,19,2,4,3
52,7,hairdryer,5,5,3,2,1,19,2,4,3
38,1,teapot,1,7,3,2,2,23,2,2,3
