,Include,subjects,manipulation,keys,order,Preference,Unpleasant
1,1,1,S,C,a,1,0
2,1,2,S,C,a,1,1
3,1,3,S,C,a,1,1
4,1,4,S,C,a,1,1
5,1,5,S,C,a,0,0
6,1,6,S,C,a,1,1
7,1,7,S,C,a,1,1
8,1,8,S,C,a,0,0
9,1,9,S,C,a,1,1
10,1,10,S,C,a,1,1
11,1,11,S,C,a,1,1
12,1,12,S,C,a,0,0
13,1,13,S,C,a,1,1
14,1,14,S,C,a,0,0
15,1,15,S,C,a,1,1
16,1,16,S,C,a,1,1
17,1,17,S,C,a,0,0
18,1,18,S,C,a,1,1
19,1,19,S,C,a,1,1
20,1,20,S,C,a,0,0
21,1,21,S,C,a,1,1
22,1,22,S,C,a,1,1
23,1,23,S,C,a,1,1
24,1,24,S,C,a,1,1
25,1,25,S,C,a,1,1
26,1,26,S,C,a,1,1
27,1,27,S,C,a,0,0
28,1,28,S,C,a,1,1
29,1,29,S,C,a,1,1
30,1,30,S,C,a,0,0
31,1,31,S,C,a,1,1
32,1,32,S,C,a,1,1
33,1,33,S,C,a,1,1
34,1,34,S,C,a,1,1
35,1,35,S,C,a,0,0
36,1,36,S,C,a,1,1
37,1,37,S,C,a,1,1
38,1,38,S,C,a,1,1
39,1,39,S,C,a,0,0
40,1,40,S,C,a,1,1
41,1,41,S,C,a,1,1
42,1,42,S,C,a,1,1
43,1,43,S,C,a,1,1
44,1,44,S,C,a,1,1
45,1,45,S,C,a,1,1
46,1,46,S,C,a,1,1
47,1,47,S,C,a,1,1
48,1,48,S,C,a,1,1
49,1,49,S,C,a,0,0
50,1,50,S,C,a,0,0
51,1,51,S,C,a,0,0
52,1,1,T,C,a,1,1
53,1,2,T,C,a,1,1
54,1,3,T,C,a,1,1
55,1,4,T,C,a,0,1
56,1,5,T,C,a,0,0
57,1,6,T,C,a,0,1
58,1,7,T,C,a,1,1
59,1,8,T,C,a,1,1
60,1,9,T,C,a,1,1
61,1,10,T,C,a,1,1
62,0,11,T,C,a,NA,NA
63,1,12,T,C,a,1,1
64,1,13,T,C,a,1,1
65,1,14,T,C,a,0,0
66,1,15,T,C,a,1,1
67,1,16,T,C,a,0,0
68,1,17,T,C,a,0,0
69,1,18,T,C,a,1,1
70,1,19,T,C,a,1,1
71,1,20,T,C,a,1,1
72,1,21,T,C,a,1,1
73,1,22,T,C,a,0,0
74,1,23,T,C,a,1,1
75,1,24,T,C,a,1,1
76,1,25,T,C,a,1,1
77,1,26,T,C,a,0,0
78,1,27,T,C,a,0,0
79,1,28,T,C,a,1,1
80,1,29,T,C,a,1,1
81,1,30,T,C,a,1,1
82,1,31,T,C,a,1,1
83,1,32,T,C,a,0,0
84,1,33,T,C,a,1,1
85,1,34,T,C,a,1,1
86,1,35,T,C,a,1,1
87,1,36,T,C,a,0,0
88,1,37,T,C,a,1,1
89,1,38,T,C,a,0,0
90,1,39,T,C,a,1,1
91,1,40,T,C,a,1,1
92,1,41,T,C,a,1,1
93,1,42,T,C,a,1,0
94,1,43,T,C,a,1,1
95,1,44,T,C,a,0,0
96,1,45,T,C,a,1,1
97,1,46,T,C,a,1,1
98,1,47,T,C,a,1,1
99,1,48,T,C,a,1,1
100,1,49,T,C,a,1,1
101,1,50,T,C,a,1,1
102,0,51,T,C,a,NA,NA
103,1,1,T+S,C,a,1,1
104,1,2,T+S,C,a,1,1
105,1,3,T+S,C,a,0,0
106,1,4,T+S,C,a,0,1
107,1,5,T+S,C,a,0,0
108,1,6,T+S,C,a,1,1
109,1,7,T+S,C,a,1,1
110,1,8,T+S,C,a,1,1
111,1,9,T+S,C,a,1,1
112,1,10,T+S,C,a,1,1
113,0,11,T+S,C,a,NA,NA
114,1,12,T+S,C,a,1,1
115,1,13,T+S,C,a,1,1
116,1,14,T+S,C,a,0,0
117,1,15,T+S,C,a,1,1
118,1,16,T+S,C,a,0,0
119,1,17,T+S,C,a,1,1
120,1,18,T+S,C,a,1,1
121,1,19,T+S,C,a,1,1
122,1,20,T+S,C,a,1,1
123,1,21,T+S,C,a,1,1
124,1,22,T+S,C,a,1,1
125,1,23,T+S,C,a,1,1
126,1,24,T+S,C,a,0,0
127,1,25,T+S,C,a,1,1
128,1,26,T+S,C,a,0,0
129,1,27,T+S,C,a,1,1
130,1,28,T+S,C,a,1,1
131,1,29,T+S,C,a,1,1
132,0,30,T+S,C,a,NA,NA
133,1,31,T+S,C,a,1,1
134,1,32,T+S,C,a,1,1
135,1,33,T+S,C,a,1,1
136,1,34,T+S,C,a,0,0
137,1,35,T+S,C,a,0,0
138,1,36,T+S,C,a,0,0
139,1,37,T+S,C,a,1,1
140,1,38,T+S,C,a,1,1
141,1,39,T+S,C,a,1,1
142,1,40,T+S,C,a,1,1
143,1,41,T+S,C,a,0,0
144,1,42,T+S,C,a,1,1
145,1,43,T+S,C,a,0,0
146,1,44,T+S,C,a,0,0
147,1,45,T+S,C,a,0,0
148,1,46,T+S,C,a,0,0
149,1,47,T+S,C,a,1,1
150,1,48,T+S,C,a,0,0
151,1,49,T+S,C,a,0,0
152,1,50,T+S,C,a,1,1
153,1,51,T+S,C,a,0,0
154,1,1,S,C,b,1,1
155,1,2,S,C,b,0,0
156,1,3,S,C,b,1,1
157,1,4,S,C,b,1,1
158,1,5,S,C,b,0,0
159,1,6,S,C,b,1,1
160,1,7,S,C,b,1,1
161,1,8,S,C,b,1,1
162,1,9,S,C,b,1,1
163,1,10,S,C,b,1,0
164,1,11,S,C,b,1,1
165,1,12,S,C,b,1,1
166,1,13,S,C,b,1,1
167,1,14,S,C,b,0,0
168,1,15,S,C,b,1,1
169,1,16,S,C,b,1,1
170,1,17,S,C,b,0,0
171,1,18,S,C,b,0,1
172,1,19,S,C,b,0,0
173,1,20,S,C,b,1,1
174,1,21,S,C,b,1,1
175,1,22,S,C,b,1,1
176,1,23,S,C,b,1,1
177,1,24,S,C,b,0,0
178,1,25,S,C,b,1,1
179,1,26,S,C,b,1,1
180,1,27,S,C,b,0,0
181,1,28,S,C,b,0,0
182,1,29,S,C,b,0,0
183,1,30,S,C,b,1,1
184,1,31,S,C,b,1,1
185,1,32,S,C,b,1,1
186,1,33,S,C,b,1,1
187,1,34,S,C,b,0,0
188,1,35,S,C,b,0,0
189,1,36,S,C,b,0,0
190,1,37,S,C,b,1,1
191,1,38,S,C,b,1,1
192,1,39,S,C,b,1,1
193,1,40,S,C,b,1,1
194,1,41,S,C,b,1,1
195,1,42,S,C,b,1,1
196,1,43,S,C,b,1,1
197,1,44,S,C,b,1,1
198,1,45,S,C,b,1,1
199,1,46,S,C,b,1,1
200,1,47,S,C,b,1,1
201,1,48,S,C,b,1,1
202,1,49,S,C,b,1,1
203,1,50,S,C,b,0,0
204,1,51,S,C,b,0,0
205,1,1,T,C,b,1,1
206,1,2,T,C,b,1,1
207,1,3,T,C,b,1,1
208,1,4,T,C,b,0,1
209,1,5,T,C,b,1,1
210,1,6,T,C,b,1,1
211,1,7,T,C,b,1,1
212,1,8,T,C,b,1,1
213,1,9,T,C,b,1,1
214,1,10,T,C,b,1,1
215,1,11,T,C,b,1,1
216,1,12,T,C,b,1,1
217,1,13,T,C,b,1,1
218,1,14,T,C,b,1,1
219,1,15,T,C,b,1,1
220,1,16,T,C,b,0,1
221,1,17,T,C,b,1,1
222,1,18,T,C,b,1,1
223,1,19,T,C,b,1,1
224,1,20,T,C,b,1,1
225,1,21,T,C,b,1,1
226,1,22,T,C,b,0,0
227,1,23,T,C,b,1,1
228,1,24,T,C,b,1,1
229,1,25,T,C,b,1,1
230,1,26,T,C,b,1,1
231,1,27,T,C,b,1,1
232,1,28,T,C,b,1,1
233,1,29,T,C,b,1,1
234,1,30,T,C,b,1,1
235,1,31,T,C,b,1,1
236,1,32,T,C,b,0,0
237,1,33,T,C,b,1,1
238,1,34,T,C,b,1,1
239,1,35,T,C,b,1,1
240,1,36,T,C,b,1,1
241,1,37,T,C,b,1,1
242,1,38,T,C,b,1,1
243,1,39,T,C,b,1,0
244,1,40,T,C,b,1,1
245,1,41,T,C,b,1,1
246,1,42,T,C,b,1,1
247,1,43,T,C,b,1,1
248,1,44,T,C,b,1,1
249,1,45,T,C,b,1,1
250,1,46,T,C,b,1,1
251,1,47,T,C,b,1,1
252,1,48,T,C,b,1,1
253,1,49,T,C,b,1,1
254,1,50,T,C,b,1,1
255,1,51,T,C,b,0,0
256,1,1,T+S,C,b,1,1
257,1,2,T+S,C,b,1,1
258,1,3,T+S,C,b,1,1
259,1,4,T+S,C,b,0,1
260,1,5,T+S,C,b,0,0
261,1,6,T+S,C,b,1,1
262,1,7,T+S,C,b,1,1
263,1,8,T+S,C,b,1,1
264,1,9,T+S,C,b,1,1
265,1,10,T+S,C,b,1,1
266,0,11,T+S,C,b,NA,NA
267,1,12,T+S,C,b,1,1
268,1,13,T+S,C,b,1,1
269,1,14,T+S,C,b,1,1
270,1,15,T+S,C,b,1,1
271,1,16,T+S,C,b,1,1
272,1,17,T+S,C,b,0,0
273,1,18,T+S,C,b,1,1
274,1,19,T+S,C,b,1,1
275,1,20,T+S,C,b,0,0
276,1,21,T+S,C,b,1,1
277,1,22,T+S,C,b,1,1
278,1,23,T+S,C,b,1,1
279,1,24,T+S,C,b,0,0
280,1,25,T+S,C,b,1,1
281,1,26,T+S,C,b,1,1
282,1,27,T+S,C,b,0,0
283,1,28,T+S,C,b,1,1
284,1,29,T+S,C,b,1,1
285,1,30,T+S,C,b,0,0
286,1,31,T+S,C,b,1,1
287,1,32,T+S,C,b,1,1
288,1,33,T+S,C,b,1,1
289,1,34,T+S,C,b,0,0
290,1,35,T+S,C,b,1,0
291,1,36,T+S,C,b,0,0
292,1,37,T+S,C,b,1,1
293,1,38,T+S,C,b,1,1
294,0,39,T+S,C,b,NA,NA
295,1,40,T+S,C,b,1,1
296,1,41,T+S,C,b,1,1
297,1,42,T+S,C,b,1,1
298,1,43,T+S,C,b,1,1
299,1,44,T+S,C,b,1,1
300,1,45,T+S,C,b,1,1
301,1,46,T+S,C,b,1,1
302,1,47,T+S,C,b,1,1
303,1,48,T+S,C,b,1,1
304,1,49,T+S,C,b,0,0
305,1,50,T+S,C,b,0,0
306,1,51,T+S,C,b,0,0
613,1,1,S,D,a,1,1
614,1,2,S,D,a,1,1
615,1,3,S,D,a,0,0
616,1,4,S,D,a,1,1
617,1,5,S,D,a,0,0
618,1,6,S,D,a,1,1
619,1,7,S,D,a,1,1
620,1,8,S,D,a,1,1
621,1,9,S,D,a,1,1
622,1,10,S,D,a,1,1
623,1,11,S,D,a,1,1
624,1,12,S,D,a,1,1
625,1,13,S,D,a,1,1
